Nom de l'association;Secteur d'activité;Ville;Adresse postale;Code postal;Adresse email;Téléphone;Statut de publication;Statut légal;Date de déclaration;Date de modification;Administrateur;N°RNA;N°SIRET;IdAssociation
Cosmosante emploi;"Groupement d'employeurs; Insertion, Aide à l'emploi, vie locale; Social Entraide; Economie; Interventions sociales";Digne-les-Bains;Pharmacie comte, 49, boulevard gassendi;04000;;;Publiée;Déclarée;20/04/2001;22/06/2015 (System);Non;;;f55b5dcd-853a-4533-83d7-2bfb68ccc6ea
Couleur soleil;"Recherche; Théâtre; Art / Spectacle de la rue; Photographie; Photographie, cinéma; Sculpture; Arts de la rue; Activités artistiques; Art et Culture";Digne-les-Bains;91, boulevard victor-hugo;04000;;0492320341;Publiée;Déclarée;20/02/2003;15/04/2016 (System);Non;;;958029ae-2fc6-448c-8398-92984de77015
Couleurs unies;"Santé et Protection civile; Social Entraide; Humanitaire et Caritatif";Digne-les-Bains;11, allée des fontainiers;04000;;;Publiée;Déclarée;20/09/2000;21/06/2015 (System);Non;;;c81ea828-3bf9-4925-9479-b0733f4d84ec
Crapahute;"Social Entraide; Actions socio-culturelles, centres de loisirs ";Digne-les-Bains;19, place de l'evêché;04000;;;Publiée;Déclarée;19/09/1998;08/06/2015 (System);Non;;;b2c0c60c-db0b-43ef-8cef-7a23fc32ea3a
Crazy Rider Club Dignois;Equitation;Digne-les-Bains;16, avenue Paul-Martin;04000;;;Publiée;Déclarée;;06/06/2015 (Jean-Christophe LEONARD);Non;;;90cf7d88-7214-4da7-8566-0f3c591ab0c2
Crazy rider club dignois (GUERETR);Sports;Digne-les-Bains;16, avenue paul-martin;04000;;;Publiée;Déclarée;19/02/1997;16/06/2015 (System);Non;;;de3146fb-c2f8-4604-a1e8-4556ba208fea
Crea-langues-jeunes;Art et Culture;Moustiers-Sainte-Marie;Le monastère de segries;04360;;;Publiée;Déclarée;;22/06/2015 (System);Non;;;e48aa6a1-aa17-4a47-94d8-df0758d6140c
Creche halte-garderie parentale le jardin enchante;"Social Entraide; Interventions sociales; Associations familiales, services sociaux pour les familles";Digne-les-Bains;Le château-des-sieyes, avenue georges-pompidou, la sebe;04000;;;Publiée;Déclarée;;08/06/2015 (System);Non;;;1ecd1dc4-544d-408b-82db-2ea6247d3b0c
Cristal : centre de relaxation et d'initiation a la sophrologie et aux therapies alternatives;"Recherche; Santé et Protection civile; Education, Formation, Recherche";Digne-les-Bains;67, boulevard gassendi;04000;;;Publiée;Déclarée;;16/06/2015 (System);Non;;;33426d8f-d415-44a3-b527-555440c0a230
Cristal sophrologie dignoise;Relaxation, sophrologie;Digne-les-Bains;2, rue andré honnorat;04000;;0492323388;Publiée;Déclarée;01/01/1900;26/03/2015 (Alexandre Siahou);Non;;;2a480cb3-3506-4209-a23b-25812da7ffc2
Croix rouge française;Humanitaire et Caritatif;Digne-les-Bains;18, rue aubin - pôle social;04000;dl.dignelesbains@croix-rouge.fr;0492340778;Publiée;Déclarée;01/01/1900;10/02/2016 (Etienne Langlois);Non;;;e5640137-751e-4a2f-aeb5-6f72119e45ed
Culture et bibliotheque pour tous du departement des alpes-de-haute-provence;Art et Culture;Digne-les-Bains;32, rue des chapeliers;04000;;;Publiée;Déclarée;;22/06/2015 (System);Non;;;65e3873b-d4fa-4565-b644-4f39b6bc4d8a
Cultures et traditions;Art et Culture;Digne-les-Bains;38, rue des chapeliers;04000;;;Publiée;Déclarée;19/03/1998;04/06/2015 (System);Non;;;77622d6a-6e62-4c88-a26f-db0fd2f5bf75
Danse pour tous;"Danse; Activités artistiques; Art et Culture";Digne-les-Bains;3 Rue de l'Orée des Iscles;04000;;;Publiée;Déclarée;28/03/2007;12/06/2015 (System);Non;;;85a5487c-b5c0-4206-95a1-682374d68967
Danses d'ici et d'ailleurs;"Danse; Activités artistiques; Art et Culture; Information et Communication";Digne-les-Bains;6, rue pierre-builly;04000;dansedida@sfr.fr;0492621297;Publiée;Déclarée;20/03/2000;17/06/2015 (System);Non;;;12e16412-c0b2-4dc2-b6de-524f8bb6ee0e
Danses de monde;"Danse; Activités artistiques; Art et Culture";Digne-les-Bains;29 Route de Champtercier;04000;;;Publiée;Déclarée;19/11/1997;16/06/2015 (System);Non;;;6111eaee-1e25-4d2b-b0ad-92e093a13747
Danses du monde;Art et Culture;Digne-les-Bains;29 Route de Champtercier;04000;;;Publiée;Déclarée;;21/06/2015 (System);Non;;;af9f6339-4236-4811-b0a0-510081c83d6a
Dayraut frederic;Montagne;Entrages;Le Village;04000;;0492348462;Publiée;Déclarée;;23/04/2014 (System);Non;;;24428d3e-aea3-4ec3-9f83-5847ceabbefa
Defense des terrains de dieye et digne;"Insertion, Aide à l'emploi, vie locale; Social Entraide";Digne-les-Bains;61, bd gassendi, bp 226;04000;;;Publiée;Déclarée;20/08/2008;12/06/2015 (System);Non;;;1b906546-afbb-43a5-b0ab-387d6080e35a
Delegation departementale des accueils des villes françaises des alpes-de-haute-provence;Interventions sociales;Digne-les-Bains;Résidence du parc, 41 b, allée des fontainiers;04000;;;Publiée;Dissoute;;25/06/2015 (System);Non;;;2ea808d5-cf38-4832-964c-2ff5600e4318
Des abeilles et des hommes pour le developpement;"Social Entraide; Interventions sociales";Digne-les-Bains;32, rue des oliviers;04000;;;Publiée;Déclarée;20/11/2006;11/06/2015 (System);Non;;;5ee1391d-d899-426d-a267-3723e9f6ceab
Des montagnes et des hommes;"Comités de défense, comités de sauvegarde; Environnement, Développement durable; Protection de sites naturels";Digne-les-Bains;7,, impasse de la pinède;04000;;;Publiée;Déclarée;20/11/2013;09/06/2015 (System);Non;W043002081;;e4e4ad9f-7f35-4fda-8b81-d1975fcd4a36
Destination verdon;"Recherche; Art et Culture; Information et Communication; Education, Formation, Recherche";Moustiers-Sainte-Marie;Place de l'Eglise;04360;;;Publiée;Déclarée;20/02/2005;10/06/2015 (System);Non;;;80ab33a0-9ef7-41fb-9b48-69c3cb02f0c4
Developpement Moto Alpes Racing;Moto;Digne-les-Bains;bâtiment A, les Acacias, 18, chemin Sainte-Thérèse, La Sebe;04000;dmar@aol.com;;Publiée;Déclarée;;25/04/2014 (Manoël Deligny);Non;;;ecae5a93-901e-4498-9670-e4d60b23d8c2
Diagonale;"Comités de défense, comités de sauvegarde; Environnement, Développement durable; Représentation d'intérêts régionaux et locaux; Economie; Représentation, promotion et défense d'intérêts économiques; Protection de sites naturels";Moustiers-Sainte-Marie;Lieu-dit Ferme Vincel;04360;;;Publiée;Déclarée;28/03/2011;16/06/2015 (System);Non;W043001827;;0baa38df-1ced-4410-a674-f30fc73e80ac
Digne a velo;"Sports individuels; Médiation, prévention; Sports; Cyclisme (Vélo); Loisirs; Justice; Actions socio-culturelles, centres de loisirs ";Digne-les-Bains;18, rue de l'espérance;04000;;;Publiée;Déclarée;;16/04/2016 (System);Non;;;3213eea3-05f0-46bb-9d9b-ed1bb9634527
Digne auto classic club;Mécaniques;Digne-les-Bains;3 boulevard gassendi;04000;;;Publiée;Déclarée;01/01/1900;22/04/2014 (System);Non;;;1fe4bc43-e683-49cf-9ffe-2738607fb39f
Digne auto classic club- jean rolland;"Sports mécaniques; Sports individuels; Sports";Digne-les-Bains;3, boulevard gassendi;04000;;;Publiée;Déclarée;29/06/2011;17/04/2016 (System);Non;W043001853;;760a7eb8-04cc-4640-b184-3334c794227f
DIGNE BASKET CLUB;Basketball;Digne-les-Bains;28 Avenue Henri Jaubert;04000;accueil@dignebasket.fr;0671102843;Publiée;Inconnu;;06/05/2015 (Georges PEREIRA);Oui;;;eb7dd962-a397-407b-a5c6-6d457c97eba7
Digne bleone peche competition;"Sports; Actions socio-culturelles, centres de loisirs ";Digne-les-Bains;43, le tivoli;04000;;;Publiée;Déclarée;;15/04/2016 (System);Non;;;bdd0e1f4-64c2-4145-a0c2-6e7149a11e6b
Digne de demain;"Politique; Action politique locale";Digne-les-Bains;19, rue romarins;04000;;;Publiée;Déclarée;20/06/2014;09/06/2015 (System);Non;W043002150;;b3fc0d9c-9980-4d2e-8729-486c184ba583
Digne de toi;"Recherche; Economie";Digne-les-Bains;Lycée le sacré-coeur, 2, avenue des thermes;04000;;;Publiée;Déclarée;;15/04/2016 (System);Non;;;8db6d188-759b-4879-97db-883050c715da
Digne - douma;Autres catégories;Digne-les-Bains;Office du tourisme;04000;;;Publiée;Déclarée;;23/06/2015 (System);Non;;;c9352bff-c883-4465-91fe-951e2b58f5ee
Digne-ecologie;"Environnement, Développement durable; Mouvements écologiques";Digne-les-Bains;Impasse des Clairières;04000;;;Publiée;Dissoute;;22/06/2015 (System);Non;;;c54dd998-0bcb-446f-8801-7974ac10efc7
Digne expansion;"Politique; Information et Communication";Digne-les-Bains;36,, avenue henri jaubert;04000;info@digne-expansion.fr;0664167141;Publiée;Déclarée;20/11/2010;16/06/2015 (System);Non;W043001650;;bc3195bf-95ed-4b1b-83b2-d6ba8bf27259
Digne label;Art et Culture;Digne-les-Bains;87, boulevard victor-hugo, rez-de-chaussée droite;04000;;;Publiée;Déclarée;19/04/1998;04/06/2015 (System);Non;;;c8c0a405-c56d-4659-babf-a1620a07dab8
Digne les bains;Loisirs;Digne-les-Bains;Place du Général de Gaulle B.P. 214;04000;;;Publiée;Déclarée;;15/04/2015 (Alexandre Siahou);Non;;;707b34d7-431a-4691-bc12-374009d7ac8a
Digne-les-Bains Basket Club;Basketball;Digne-les-Bains;I bis rue Ernest Esclangon, École de la Sèbe;04000;accueil@dignebasket.fr;;Publiée;Déclarée;;04/06/2015 (Danielle NEVIERE);Non;;;e97004e7-fcbc-4f45-a999-964f4b3f7307
Digne les bains en direct;"Environnement, Développement durable; Défense et amélioration du cadre de vie";Digne-les-Bains;15, route des dourbes;04000;;;Publiée;Déclarée;20/06/2014;09/06/2015 (System);Non;W043002131;;385c60b8-7a35-410d-b49b-a7ac380ef7ff
Digne-les-bains handball;Sports;Digne-les-Bains;Chemin du touer;04000;;;Publiée;Déclarée;19/08/1998;04/06/2015 (System);Non;;;e9fcafd9-8587-481c-9f24-62d2780c572c
Digne-les-bains  handball;Handball;Digne-les-Bains;Centre desmichels;04000;dignehandball@yahoo.fr;;Publiée;Déclarée;01/01/1900;26/03/2015 (Alexandre Siahou);Non;;;49db0a61-cdcc-4569-9fe6-4311018aa053
Digne-les-bains handball (DBHB);Sports;Digne-les-Bains;Chemin du touer;04000;;;Publiée;Déclarée;;10/06/2015 (System);Non;;;24e5a564-fde8-4758-832c-a6c718945dca
Digne-les-bains notre ville en trois d;"Politique; Soutien, financement de partis et de campagnes électorales";Digne-les-Bains;17, chemin de bonnette;04000;;;Publiée;Déclarée;26/10/2007;12/06/2015 (System);Non;;;25ad3524-4094-4464-a7b1-e7bde75741db
Digne-Les-Bains Triathlon;Triathlon;Digne-les-Bains;8 Avenue Colonel Noël;04000;contact@digne-les-bains-triathlon.fr;;Publiée;Déclarée;;21/06/2015 (Alexandre Siahou);Non;;;02826e88-dca1-4fa5-8138-21cacfa03a4b
Digne seniors +;Sports;Digne-les-Bains;12, place du marché;04000;;;Publiée;Déclarée;;15/04/2016 (System);Non;;;0b463078-6ed1-4d63-99bd-b23e23f208a8
Digne Seniors Plus;"Taichi chuan; Gymnastique; Danse; Pétanque (Boules); Marche Nordique; Randonnée pédestre";Digne-les-Bains;chez Mme Violette Roth, 1B chemin du moulin;04000;digne.seniors.plus@gmail.com;0699198268;Publiée;Déclarée;20/10/2003;18/10/2016 (solange marckt);Oui;;;0f6e206f-5302-4b3f-afdb-6b47fc622190
Digne vitalite 04;Associations multisports locales;Digne-les-Bains;26, avenue henri-jaubert;04000;;;Publiée;Déclarée;20/08/2015;18/04/2016 (System);Non;W043002257;;edb2ea13-b639-4b9d-8136-4a0c6bb89150
Dinha gavota;Préservation du patrimoine;Digne-les-Bains;Centre desmichels;04000;;0492315434;Publiée;Déclarée;01/01/1900;26/03/2015 (Alexandre Siahou);Non;;;ab7f73b9-2e72-4291-8514-8d48253f441a
Dkdance;Promotion de l'art et des artistes;Digne-les-Bains;70 Boulevard Gassendi;04000;;;Publiée;Déclarée;20/05/2016;22/05/2016 (System);Non;W043002342;;46e98e13-f63f-4aad-b829-9cda5823feb1
D.m.a.r. (DEVELOPPEMENT MOTO ALPES RACING);Sports;Digne-les-Bains;Bâtiment a, les acacias, 18, chemin sainte-thérèse, la sebe;04000;;;Publiée;Déclarée;20/11/2000;22/06/2015 (System);Non;;;a6a91305-25e4-4944-b1d2-fe2c9b75eda3
Duos danses;"Sports; Social Entraide; Actions socio-culturelles, centres de loisirs ";Digne-les-Bains;Avenue de verdun;04000;;;Publiée;Déclarée;20/02/2006;10/06/2015 (System);Non;;;f7e8d293-123e-4b11-b594-3b7c9ce5f2b1
Dynacom;"Social Entraide; Interventions sociales";Digne-les-Bains;C.f.a. rené-villeneuve, 15, rue maldonat;04000;;;Publiée;Déclarée;19/10/1998;05/06/2015 (System);Non;;;b0850617-0958-4a46-b0a3-0735efd6087b
Dynamik-mod;"Social Entraide; Actions socio-culturelles, centres de loisirs ";Digne-les-Bains;44 bis, avenue demontzey;04000;;;Publiée;Déclarée;20/10/2007;12/06/2015 (System);Non;;;86889c55-784e-4a98-9265-c8164022b724
Eau roche et sensation;"Montagne; Sports; Social Entraide; Loisirs; Nature/Montagne; Actions socio-culturelles, centres de loisirs ; Economie; Art et Culture";Mézel;Eau roche et sensation chez m. deambri (fabrice), impasse des cabres;04270;;;Publiée;Déclarée;;16/04/2016 (System);Non;W043000005;;81124273-4791-4705-a621-d51c09066926
Echiquier du pays dignois;"Jeux; Loisirs";Digne-les-Bains;48, rue Beethoven - Hameau de Chanteclerc;04000;infos@echiquier-du-pays-dignois.fr;;Publiée;Déclarée;24/01/2013;06/09/2015 (Daniel Huyghues des Etages);Oui;W043002002;;b589a876-c1ea-4c30-aaae-ea3986c8bb26
Echos logiques;Environnement, Développement durable;Barrême;Rue du milieu;04330;buffetdelagare@laposte.net;;Publiée;Déclarée;20/04/2006;10/06/2015 (System);Non;;;8ba849ed-8ef9-4651-983c-3cd05f752fc2
Ecobati des alpes de haute provence;"Association de représentation d'artisans et de commerçants; Economie; Représentation, promotion et défense d'intérêts économiques";Digne-les-Bains;5, allée des fontainiers, bp 66;04002;;;Publiée;Déclarée;20/04/2009;14/06/2015 (System);Non;W043000379;;a52271b4-4908-434d-8d9e-cbabae538816
École d'arts intercommunale de Digne-les-Bains;Arts graphiques et plastiques;Digne-les-Bains;24, avenue saint Véran Mistral;04000;ecoleart@idbl.fr;0492313459;Publiée;Déclarée;01/01/1900;20/06/2016 (Guylaine  Fontana);Oui;;;0ce1864e-443d-416b-a8df-08fe3158dd92
Ecole dignoise de crepier;Education, Formation, Recherche;Digne-les-Bains;54, rue de l'hubac;04000;;;Publiée;Dissoute;;14/04/2016 (System);Non;;;e9132809-4340-4283-9301-825d97f1fc43
Ecole dignoise de crepier « edic »;Education, Formation, Recherche;Digne-les-Bains;54, rue de l'hubac;04000;;;Publiée;Déclarée;20/08/2001;23/06/2015 (System);Non;;;80304255-4154-4da4-9fad-88ae70f4fc76
Ecole du sous sol;"Activités festives (soirées); Musique; Danse; Spectacle; Chant, Chorale; Organisation De Concerts";Digne-les-Bains;Plan d'eau des ferréols;04000;ecoledusoussol@gmail.com;0492315180;Non publiée;Déclarée;07/10/2002;24/07/2015 (Magali Mossé);Oui;;49127061700021;0c7954c7-37f4-4101-a813-d50e3725f27d
Ecole du sous sol / Studio 57;"Musique; Danse; Chant, Chorale";Digne-les-Bains;Studio 57 plan d'eau quartier des férrèols;04000;ecoledusoussol@gmail.com;0492315180;Publiée;Inconnu;;19/09/2016 (Jean-Christophe LEONARD);Oui;;;a82853a1-266c-45ad-8e0f-244f7def6f67
Ecosysteme;"Environnement, Développement durable; Mouvements écologiques";Digne-les-Bains;5 terrasse st pierre;04000;;;Publiée;Déclarée;20/10/2012;18/04/2016 (System);Non;W043001973;;a57b6996-5922-447d-9b19-0605c1827755
Ecurie lavande;Actions socio-culturelles, centres de loisirs ;Digne-les-Bains;Centre desmichels;04000;leterre@karatel.fr;;Publiée;Déclarée;;08/06/2015 (System);Non;;;30cc52f5-e959-415a-b066-208feb6f1ba6
Ecurie lavande;"Sports individuels; Equitation; Sports; Sports équestres";Digne-les-Bains;Z.i. saint-christophe;04990;leterre@wanadoo.fr;;Publiée;Déclarée;;10/06/2015 (System);Non;;;824d5203-2531-4aff-844c-a6a851330af5
Editeur sans frontieres-paca, groupement des editeurs paca pour les echanges internationaux;"Recherche; Economie; Information et Communication";Digne-les-Bains;C.c.i. de dignes-les-bains, 60, boulevard gassendi;04000;;;Publiée;Déclarée;;14/04/2016 (System);Non;;;8f3852ab-225a-442c-9b02-5ad69f53ab84
Editeurs sans frontieres (P.A.G.A.);Autres catégories;Digne-les-Bains;Chambre de commerce et d'industrie de dignes-les-bains, 60, boulevard gassendi;04000;;;Publiée;Déclarée;;15/04/2016 (System);Non;;;ff2497fc-2f60-4927-9c2e-81dd1a392ce6
Eglise adventiste du 7e jour de digne-les-bains;"Religion, Culte, Philosophie; Social Entraide";Digne-les-Bains;3 Rue des Monges;04000;;;Publiée;Déclarée;;07/06/2015 (System);Non;;;d6fb0228-3d20-4bce-9199-e9ea40a0bb3c
Eglise ensemble pour christ;Religion, Culte, Philosophie;Digne-les-Bains;15 Boulevard Saint-Jean Chrysostome;04000;;;Publiée;Déclarée;19/11/1998;05/06/2015 (System);Non;;;d4f30eef-896a-4976-a945-294ac7637361
Eglise Evangélique de Digne (ADD);Eglise évangélique;Digne-les-Bains;62, avenue Henri Jaubert;04000;add.digne@gmail.com;;Publiée;Déclarée;;18/06/2016 (Christophe SIERRA);Oui;;;e3338943-8b86-48c6-8e40-e667c5cf270c
Electronik generation;"Spectacle; Organisation De Concerts; Art et Culture";Digne-les-Bains;Place de la Mairie;04000;;;Publiée;Déclarée;19/05/1998;04/06/2015 (System);Non;;;bb30c87a-df49-415a-8c4e-d0f25fd44b1f
Eleveurs et montagnes 04;"Défense des droits fondamentaux, activités civiques; Protection des animaux; Justice";Digne-les-Bains;66,, boulevard gassendi;04000;;;Publiée;Déclarée;20/04/2011;16/06/2015 (System);Non;W043001829;;bbe32cf9-c450-4163-b243-718c512a83d3
Energ'ethique 04;"Association du personnel d'une entreprise (hors syndical) ; Social Entraide; Amicale, groupement d'entraide, solidarité ";Digne-les-Bains;6,, impasse lavoisier- zi st christophe;04000;;;Publiée;Déclarée;20/09/2011;17/04/2016 (System);Non;W043001868;;b6abd81c-a6c5-4476-99e4-4affec90e449
Energie-detente;"Recherche; Sports individuels; Sports; Loisirs; Actions socio-culturelles, centres de loisirs ; Interventions sociales; Entretien et développement corporel";Digne-les-Bains;4, rue meirieu;04000;energie-detente@neuf.fr;0486740075;Publiée;Déclarée;;16/04/2016 (System);Non;;;8f026be5-0071-4850-9a94-d9afacc5503b
Energie du reiki 04;"Sports individuels; Sports; Autres arts martiaux; Arts martiaux";Digne-les-Bains;Rue de la chênaie;04000;;;Publiée;Déclarée;28/05/2014;09/06/2015 (System);Non;W043002130;;15965e89-2831-47b1-8b9b-eaeaea94d2d9
ENERGIE_CLUB_DIGNOIS;Entretien et développement corporel;Digne-les-Bains;2 rue firmin guichard;04000;energieclubdignois@yahoo.fr;0492324192;Publiée;Déclarée;;13/04/2016 (Etienne Langlois);Oui;;;a063a1a4-cf25-4909-a3a2-15209bbbc986
Enfance de l'art Via Opera;Art et Culture;Digne-les-Bains;49, rue Le Balistère, boulevard Gassendi;04000;;;Publiée;Déclarée;;15/04/2015 (Alexandre Siahou);Non;;;69c2799d-139c-4b30-96a5-3ac2cbeb3409
Enfance et familles d'adoption des alpes de haute-provence;Aide et conseils aux familles;Digne-les-Bains;39, bd victor hugo;04000;efa04@emailasso.fr;;Publiée;Déclarée;01/01/1900;27/03/2015 (sandrine Fabry);Non;;;205a9861-63d4-4f84-b398-b7c8cbc9fbf0
Ensemble avec digne 2020;"Comités de défense, comités de sauvegarde; Environnement, Développement durable; Protection de sites naturels";Digne-les-Bains;Centre desmichels;04000;;;Publiée;Déclarée;20/06/2011;17/04/2016 (System);Non;W043001845;;7b38b178-80e3-406b-be22-d326d285371a
Ensemble-digne;"Interventions sociales; Art et Culture";Digne-les-Bains;Village de gaubert;04000;;;Publiée;Déclarée;20/11/2001;14/04/2016 (System);Non;;;cf30b03f-ac3a-4bf5-a8f9-fdaf58c30505
Ensemble mali-pays dignois;Autres catégories;Digne-les-Bains;Village de gaubert;04000;;;Publiée;Déclarée;;10/06/2015 (System);Non;;;d73daa7c-182c-4740-a275-5b24a40ebd90
Ensemble Vocal Sol'aria;Chant, Chorale;Digne-les-Bains;3, rue de la Fraternité;04000;;;Publiée;Déclarée;01/01/1900;25/03/2015 (Elias Administrateur Galoo);Non;;;9428c0bd-12f4-4285-bbf4-1f015ba77e7f
Entente Provencale Digne Manosque Volley-Ball;"Volley ball; Beach volley";Digne-les-Bains;13, rue Maldonnat;04000;ententeprovencaledignemanosque@gmail.com;0648005939;Publiée;Déclarée;21/08/2005;08/04/2016 (DIGNE VOLLEY);Oui;;;817632b2-af74-4d9b-ae7e-9734e15d873c
Entre balles et nez rouge;"Cirques; Théâtre; Activités artistiques; Art et Culture";Digne-les-Bains;Les hostelleries de gaubert;04000;;;Publiée;Déclarée;;05/06/2015 (System);Non;;;4d67d830-3aae-4847-8d84-a6df1efcb87e
Envi-bio;"Environnement, Développement durable; Mouvements écologiques";Digne-les-Bains;37,, route de barles;04000;;;Publiée;Déclarée;29/11/2011;17/04/2016 (System);Non;W043001893;;e673479a-0abf-4392-b031-54c9ffe9ed35
EPDM VOLLEY;Volley ball;Digne-les-Bains;13 RUE MALDONNAT;04000;contact@epdmvolley.fr;0648005939;Non publiée;Déclarée;21/08/2005;16/10/2016 (Jean-Christophe LEONARD);Oui;;;803c6695-3a75-4530-9f8c-02edfc8a843d
Epinettes - j. reinach - lieutenant chaspoul;"Recherche; Education, Formation, Recherche";Digne-les-Bains;17 Avenue Joseph Reinach;04000;;;Publiée;Déclarée;;16/06/2015 (System);Non;;;18f0f651-7750-40e3-9be5-f45181f23838
Epinettes j. reinach-lt chaspoul;"Défense des droits fondamentaux, activités civiques; Justice";Digne-les-Bains;17, avenue j.-reinach;04000;;;Publiée;Déclarée;19/03/1997;16/06/2015 (System);Non;;;5b9b5599-d69e-475c-befe-3ba56f740f4a
Episol-digna;"Groupements d'entraide et de solidarité; Social Entraide; Amicale, groupement d'entraide, solidarité ";Digne-les-Bains;3, rue du docteur honnorat;04000;compostere@gmail.com;0486496642;Publiée;Dissoute;01/03/2011;18/04/2016 (System);Non;W043001816;;308f94ca-72c8-4f82-a198-09456b130c3a
Ergologic;Aide à la création d'activités économiques individuelles;Digne-les-Bains;20 Rue Antoine Héroët;04000;;;Publiée;Déclarée;20/05/2016;22/05/2016 (System);Non;W043002340;;ffb7fe1a-fd7a-4ffb-b965-0512811109d0
Escal'sud;"Sports; Multisports; Sports de neige; Associations multisports locales";Digne-les-Bains;14, rue alphonse richard;04000;;0629410431;Publiée;Déclarée;20/08/2010;15/06/2015 (System);Non;W043000870;;5246ba61-99ba-419b-bcbe-0c733748b323
Esp'asses;"Aériens; Sports individuels; Sports";Barrême;Le village;04330;;;Publiée;Déclarée;20/02/2010;15/06/2015 (System);Non;W043000647;;b92e79f7-f604-4b16-a06d-c078e108757a
Espace therapeutique d'aide psychologique en emetanalyse (E.T.A.P.E.);"Recherche; Santé et Protection civile; Social Entraide; Interventions sociales";Digne-les-Bains;Lotissement du pradas, quartier des augiers;04000;;;Publiée;Déclarée;;15/04/2016 (System);Non;;;c546cf13-ce3b-483e-9756-3cd579392e60
Espoir et lumiere aux isnards;"Loisirs; Clubs de réflexion; Clubs, Cercles de réflexion";Digne-les-Bains;Route de Barles;04000;;;Publiée;Déclarée;20/11/2010;16/06/2015 (System);Non;W043000975;;f2136500-5755-4925-b802-3c9d4c0725fa
Estoublon ritournelle;"Théâtre; Activités artistiques; Art et Culture";Estoublon;1,, chemin de la mairie;04270;;;Publiée;Déclarée;20/03/2011;16/06/2015 (System);Non;W043001823;;1757a6d9-051a-48e6-b917-016e1779a4d5
Etoile sportive barremoise;"Sports; Actions socio-culturelles, centres de loisirs ";Barrême;Librairie mistral, place de l'eglise;04330;;;Publiée;Déclarée;;15/04/2016 (System);Non;;;7e5f624c-4410-4e1a-bd3e-70dc6ce53267
Etoiles de sel;Autres catégories;Digne-les-Bains;Rue des Écoles Martin;04000;;;Publiée;Déclarée;;05/06/2015 (System);Non;;;e37ac492-ab57-4ed1-ae78-f156bc4d51dd
« etoiles de sel », systeme d'echange local dignois;"Social Entraide; Interventions sociales";Digne-les-Bains;Rue des Écoles Martin;04000;;;Publiée;Déclarée;19/08/1997;16/06/2015 (System);Non;;;6b503d09-b1b8-46f7-bab8-e8f872b864f8
Etoiles de sel, systeme d'echange local dignois;Interventions sociales;Digne-les-Bains;50 Chemin du Tivoli;04000;;;Publiée;Dissoute;;14/04/2016 (System);Non;;;8eac029b-5b1e-4016-9f39-cdd7926e918a
Etudiants solidaires;"Associations caritatives intervenant au plan international; Social Entraide; Humanitaire et Caritatif";Digne-les-Bains;17, avenue maréchal leclerc;04000;;;Publiée;Déclarée;20/09/2012;17/04/2016 (System);Non;W043001961;;7c9e14a8-a2c3-4236-9fa3-50ad1a874d90
Evaluation orientation recherche d'emploi (EVOREM);"Economie; Art et Culture";Digne-les-Bains;1, rue des coquelicots;04000;;;Publiée;Dissoute;;15/04/2016 (System);Non;;;2e22ea01-15fc-4fc5-adee-56432d6c0300
Evenement scene;Art et Culture;Digne-les-Bains;42, boulevard victor-hugo;04000;;;Publiée;Déclarée;;23/06/2015 (System);Non;;;190d675d-fcc6-43eb-814e-59eec6b73632
Experience linguistique;Art et Culture;Digne-les-Bains;5, impasse du puits;04000;;;Publiée;Dissoute;;14/04/2016 (System);Non;;;0af5da87-0ce6-4414-90ed-891747fff61f
Express yourself;"Activités artistiques; Art et Culture; Promotion de l'art et des artistes";Digne-les-Bains;9 Rue M.Z. Isnard;04000;;;Publiée;Déclarée;20/01/2009;12/06/2015 (System);Non;W043000221;;8c1388e0-a159-4cbf-beb3-a4cb851cdd04
Falbala;"Activités artistiques; Art et Culture; Promotion de l'art et des artistes";Digne-les-Bains;41, avenue de verdun;04000;;;Publiée;Déclarée;20/08/2005;10/06/2015 (System);Non;;;57e4b3f1-21c6-451c-a97c-7bf5c374a31e
Falbala - une sardine dans le plafond;Théâtre;Digne-les-Bains;Montée st lazare;04000;contact@unesardinedansleplafond.fr;;Publiée;Déclarée;01/01/1900;27/10/2016 (Chloé SOUDIN);Oui;;;d8b3f5a2-6b72-41b5-9dfe-dc226a5b5d53
FAMILLES SYSTEMES 04 TRAIT D’UNION;Social Entraide;Digne-les-Bains;14 Avenue des Thermes;04000;trait.union04@bbox.fr;;Publiée;Déclarée;;15/04/2015 (Alexandre Siahou);Non;;;dc9af734-eb28-487d-bbbd-aeab39bdb09d
FANFARE DIGNOISE;"Militaire-Armée; Musique; Majorettes, carnavals, défilés; Social Entraide; Actions socio-culturelles, centres de loisirs ; Art et Culture";Digne-les-Bains;1 Bd Martin Bret;04000;fanfaredignoise@hotmail.com;0664798003;Publiée;Déclarée;26/10/2007;24/10/2016 (florence rogé);Oui;;79861199200016;58134e8b-feea-4d90-8318-3d80af2d1dee
Fantasia;"Services familiaux, service aux personnes âgées, sénior; Crèches, garderies, haltes garderies; Social Entraide";Digne-les-Bains;14 Rue du Souvenir Français;04000;;;Publiée;Déclarée;20/09/2010;15/06/2015 (System);Non;W043000938;;793c7e8f-7fbf-4041-b96a-6eeb0f8df840
